id,pred
115909,ST
135537,RCB
140222,RCB
142499,RCM
145014,RCM
158221,LCB
158293,LCM
159261,ST
162280,RM
167926,LCM
169710,RB
171378,LDM
171923,RCM
171972,LCM
173673,LDM
175598,RCB
176920,RCB
177313,ST
177684,RCB
178090,CAM
178297,LB
178424,LB
179574,ST
179645,RCB
179899,LCM
180706,RCB
180808,LCB
180902,ST
181010,RDM
181458,LM
182122,LB
182689,RCM
183339,RCM
184176,ST
184417,LB
184643,LB
185132,LCB
186101,LCB
186267,RB
186347,LB
186392,RB
186395,LCM
186402,LCB
186672,RDM
186684,RCB
186982,LB
187013,LCB
187031,ST
187043,LDM
187421,RCM
187491,ST
187761,ST
187837,ST
188135,RB
188289,ST
188421,LCM
188541,LCM
188567,CAM
188768,RCM
189217,RWB
189331,LCB
189575,LM
189715,RCM
190156,CDM
190223,LB
190362,ST
190583,ST
190995,RM
191111,RCM
192319,LB
192366,LCB
192450,ST
192572,RB
192638,LWB
193348,RM
193427,CAM
193440,LCB
193584,ST
193747,RCM
193851,RCM
193945,RCB
194229,RB
194363,RCM
194873,RB
194932,CAM
194944,RB
195864,LCM
196935,LCB
197756,ST
197837,CB
197937,LCB
197954,CAM
198006,RCM
198135,RCB
198145,ST
198177,RCB
198178,RCB
198451,RCM
198599,RB
198748,RCB
199561,CAM
199577,RCB
199700,LM
199738,RCB
199895,LCB
200108,LB
200134,LCM
200298,RCB
200309,RB
200433,ST
200454,ST
200458,LB
200532,LB
200672,LCB
200857,LCM
200928,RCM
200949,LM
200984,ST
201119,LB
201143,LCB
201153,ST
201305,RCB
201389,LB
201401,RB
201877,RCM
201888,ST
201958,RCB
202052,ST
202087,LCM
202113,RB
202375,LCM
202408,LCB
202589,CAM
202771,LCM
202814,RB
202841,LB
202896,LM
203026,LCB
203183,ST
203263,LCB
203376,RCB
203416,ST
203751,LB
203796,LCM
203809,LCB
203864,RCM
203889,ST
203895,CAM
203965,RM
204050,RCB
204082,LCB
204217,ST
204352,CB
204372,RW
204785,RS
205026,RCM
205072,RCM
205402,LM
205495,ST
205566,LB
205601,RM
205686,RCM
206086,LB
206202,RCM
206413,LCB
206469,RM
206577,CAM
207641,RM
207805,RDM
207806,LB
207925,RB
208045,CAM
208120,ST
208470,LB
208498,LS
208626,ST
208787,CAM
208861,CDM
209371,RB
209521,LDM
209744,LB
210533,LCM
210648,CB
210679,RCB
210802,LCB
211240,RM
211522,LCB
211600,RF
211688,LB
211703,RF
211870,CAM
211872,LB
212075,ST
212090,RCB
212146,LM
212223,LS
212228,ST
212244,LB
212267,LM
212483,LB
212513,LM
212626,ST
212683,ST
213114,CAM
213151,RWB
213271,RCM
213281,CDM
213582,CAM
213661,RCB
213672,RS
214211,RS
214376,LB
214659,LCB
214884,RCB
214896,LS
214906,LCB
214918,CAM
214924,RCB
214968,LCM
214971,LM
215147,RCB
215178,RCB
215181,RB
215234,RB
215466,RCB
215562,RB
215700,RB
216150,RB
216158,RB
216247,RDM
216270,LCM
216391,RS
216393,LCM
216744,LCB
216793,ST
217199,RCB
217235,RCB
217391,LB
217731,ST
218848,CAM
219167,LCM
219275,RB
219779,LS
219953,CAM
220061,RCB
220139,RM
220143,RCM
220196,RM
220287,ST
220620,RB
220659,RCM
220735,ST
220847,RCM
220876,LM
221599,RB
221605,ST
221832,LB
221906,LCB
222081,CAM
222104,RCB
222122,RCB
222273,LB
222358,RM
222521,RCB
222618,LB
222625,RCB
222660,LCB
223053,RM
223072,RB
223104,RS
223136,LM
223230,LCB
223253,LCB
223369,RB
223663,RM
223740,RCM
223752,LCB
223922,LCM
223933,ST
224081,LDM
224115,RDM
224198,LB
224211,RCB
224232,LDM
224317,LCM
224330,RM
224344,ST
224483,LCM
224504,LM
224608,RCB
224633,LCB
224648,LB
224841,RB
224875,LCM
224975,RCB
224980,RB
225072,RCB
225085,RM
225498,RB
225529,RCB
225545,RCM
225600,LB
225733,CAM
225756,RS
225812,RCB
225863,LB
225875,RM
225948,RCB
226127,ST
226161,LCM
226436,RB
226702,RCM
226728,LB
226928,LB
226950,ST
227055,RCM
227227,RM
227394,LS
227537,ST
227558,ST
227633,LM
227788,RM
227947,LWB
228077,RCM
228173,CAM
228226,RB
228325,LCM
228326,LB
228627,LB
228645,RCM
228859,LS
